"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"261","BP","GO:0034035","purine ribonucleoside bisphosphate metabolic process","7/992","11/19219",2.62780276294812e-07,0.000116674442674896,0.000116397831857744,"Papss1/Sult2a1/Sult2a2/Sult2a3/Sult2a5/Sult2a6/Sult2a8",7,"HPP vs STR","HPP","STR"
"262","BP","GO:0034104","negative regulation of tissue remodeling","2/14","24/19219",0.000134760837958699,0.0176948252220889,0.00942263138761391,"Il6/Inpp5d",2,"HPP vs CTX","HPP","CTX"
"263","BP","GO:0034205","amyloid-beta formation","1/1","36/19219",0.00187314636557567,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"264","BP","GO:0034219","carbohydrate transmembrane transport","1/1","113/19219",0.00587959831416818,0.0121855797121882,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"265","BP","GO:0034248","regulation of cellular amide metabolic process","1/1","378/19219",0.0196680368385451,0.0216893951219359,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"266","BP","GO:0034249","negative regulation of cellular amide metabolic process","1/1","174/19219",0.00905354076694931,0.0143730404868242,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"267","BP","GO:0034284","response to monosaccharide","1/1","171/19219",0.00889744523648461,0.014336239654039,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"268","BP","GO:0034310","primary alcohol catabolic process","6/992","12/19219",1.31575223260276e-05,0.00313516253081715,0.00312772971305798,"Sult2a1/Sult2a2/Sult2a3/Sult2a5/Sult2a6/Sult2a8",6,"HPP vs STR","HPP","STR"
"269","BP","GO:0034329","cell junction assembly","29/444","393/19219",4.23679469200033e-08,1.3396744816105e-05,1.28352580248178e-05,"Adgrb3/Adgrl3/Cbln2/Cdh10/Cdh12/Cdh18/Cdh19/Cdh6/Cdh7/Cdh9/Cldn34c4/Cntn5/Epha3/Epha7/Gabrg2/Gpc6/Gpm6a/Grid2/Lrfn5/Lrrtm1/Lrrtm3/Lrrtm4/Mdga2/Mef2c/Nrxn1/Slitrk1/Slitrk5/Slitrk6/Snca",29,"HPP vs PFC","HPP","PFC"
"270","BP","GO:0034329","cell junction assembly","45/992","393/19219",4.78910664221589e-07,0.000193305759013078,0.000192847471296119,"Abi2/Adgrb3/Adgrl3/Cbln2/Cdh10/Cdh11/Cdh12/Cdh18/Cdh19/Cdh20/Cdh6/Cdh7/Cdh9/Cldn34c4/Cntn5/Epha3/Epha7/Fgf13/Gabra2/Gabrb3/Gabrg2/Gpc6/Gpm6a/Gpm6b/Grid2/Itgb3/Lrfn5/Lrrtm1/Lrrtm3/Lrrtm4/Mdga2/Mef2c/Negr1/Nlgn1/Nrxn1/Pclo/Pkp4/Ppp1r9a/Prkch/Ptprd/Slitrk1/Slitrk5/Slitrk6/Snca/Ston1",45,"HPP vs STR","HPP","STR"
"271","BP","GO:0034332","adherens junction organization","10/992","47/19219",0.000115899359292619,0.0214413814691345,0.0213905484168132,"Abi2/Cdh10/Cdh11/Cdh12/Cdh18/Cdh19/Cdh20/Cdh6/Cdh7/Cdh9",10,"HPP vs STR","HPP","STR"
"272","BP","GO:0034332","adherens junction organization","7/444","47/19219",9.47897481351512e-05,0.0124885493168062,0.011965126979516,"Cdh10/Cdh12/Cdh18/Cdh19/Cdh6/Cdh7/Cdh9",7,"HPP vs PFC","HPP","PFC"
"273","BP","GO:0034349","glial cell apoptotic process","1/1","18/19219",0.000936573182787948,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"274","BP","GO:0034350","regulation of glial cell apoptotic process","1/1","13/19219",0.000676413965346789,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"275","BP","GO:0034351","negative regulation of glial cell apoptotic process","1/1","10/19219",0.000520318434882094,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"276","BP","GO:0034390","smooth muscle cell apoptotic process","1/1","30/19219",0.00156095530464662,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"277","BP","GO:0034391","regulation of smooth muscle cell apoptotic process","1/1","30/19219",0.00156095530464662,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"278","BP","GO:0034392","negative regulation of smooth muscle cell apoptotic process","1/1","15/19219",0.000780477652323253,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"279","BP","GO:0034637","cellular carbohydrate biosynthetic process","1/1","66/19219",0.00343410167022218,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"280","BP","GO:0034764","positive regulation of transmembrane transport","1/1","248/19219",0.0129038971850771,0.0170897955402363,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"281","BP","GO:0035051","cardiocyte differentiation","1/1","162/19219",0.00842915864509086,0.0142143886468458,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"282","BP","GO:0035264","multicellular organism growth","1/1","197/19219",0.0102502731671782,0.0152429199476619,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"283","BP","GO:0035265","organ growth","1/1","190/19219",0.0098860502627609,0.0149529952442317,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"284","BP","GO:0035272","exocrine system development","1/1","46/19219",0.00239346480045799,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
