"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Comparison","Mark"
"GO:00097552","BP","GO:0009755","hormone-mediated signaling pathway","8/213","163/28943",2.95130732520081e-05,0.00155917579912754,0.00111895324085894,"Ntrk2/Prlr/Bmp7/Ptpn11/Abhd2/Sfrp1/Yap1/Nedd4",8,"HPPvsCTX","H3K27ac"
"GO:00099142","BP","GO:0009914","hormone transport","12/213","383/28943",2.97803082384347e-05,0.00155917579912754,0.00111895324085894,"Srebf1/Bmp6/Abat/Adcy5/Fbn1/Ptpn11/Aqp1/Syt9/Sfrp1/Myo5a/Myrip/Slc16a2",12,"HPPvsCTX","H3K27ac"
"GO:00459271","BP","GO:0045927","positive regulation of growth","11/213","324/28943",3.10450063343229e-05,0.00159830040944539,0.00114703128666814,"Tgfb2/Ezr/Myo5b/Fxn/Shtn1/Hopx/Tgfbr3/Tead1/Sfrp1/Yap1/Ncam1",11,"HPPvsCTX","H3K27ac"
"GO:2000146","BP","GO:2000146","negative regulation of cell motility","11/213","325/28943",3.19282649591869e-05,0.00161682640096604,0.00116032659195941,"Sulf1/Tmeff2/Ptprk/Kank1/Magi2/Ppargc1a/Cxcl13/Tgfbr3/Srgap3/Abhd2/Sfrp1",11,"HPPvsCTX","H3K27ac"
"GO:00901002","BP","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","7/213","121/28943",3.28950275768841e-05,0.00163891516427411,0.00117617874493918,"Sulf1/Tgfb2/Bmp6/Crb2/Bmp7/Msx1/Tgfbr3",7,"HPPvsCTX","H3K27ac"
"GO:00106311","BP","GO:0010631","epithelial cell migration","11/213","328/28943",3.47094454953184e-05,0.00170186471642918,0.00122135492419617,"Tgfb2/Fgf18/Dock5/Emp2/Kank1/Fap/Cxcl13/Tgfbr3/Ptpn11/Aqp1/Iqsec1",11,"HPPvsCTX","H3K27ac"
"GO:00480152","BP","GO:0048015","phosphatidylinositol-mediated signaling","8/213","168/28943",3.66167413172941e-05,0.00172236839235716,0.00123606952831071,"Tgfb2/Kcnh1/Ntrk2/Ezr/Plch1/Pdgfra/Pitpnm2/Nedd4",8,"HPPvsCTX","H3K27ac"
"GO:00901321","BP","GO:0090132","epithelium migration","11/213","330/28943",3.66775373343569e-05,0.00172236839235716,0.00123606952831071,"Tgfb2/Fgf18/Dock5/Emp2/Kank1/Fap/Cxcl13/Tgfbr3/Ptpn11/Aqp1/Iqsec1",11,"HPPvsCTX","H3K27ac"
"GO:00352652","BP","GO:0035265","organ growth","9/213","218/28943",3.68003606007034e-05,0.00172236839235716,0.00123606952831071,"Tgfb2/Wwc1/Prlr/Fxn/Pdgfra/Tgfbr3/Ptpn11/Yap1/Ncam1",9,"HPPvsCTX","H3K27ac"
"GO:00713832","BP","GO:0071383","cellular response to steroid hormone stimulus","8/213","169/28943",3.81963147168024e-05,0.00175987176572601,0.0012629840822678,"Ntrk2/Fam107a/Bmp7/Aqp1/Abhd2/Sfrp1/Yap1/Nedd4",8,"HPPvsCTX","H3K27ac"
"GO:00901301","BP","GO:0090130","tissue migration","11/213","332/28943",3.87411071768756e-05,0.00175987176572601,0.0012629840822678,"Tgfb2/Fgf18/Dock5/Emp2/Kank1/Fap/Cxcl13/Tgfbr3/Ptpn11/Aqp1/Iqsec1",11,"HPPvsCTX","H3K27ac"
"GO:00480172","BP","GO:0048017","inositol lipid-mediated signaling","8/213","171/28943",4.15265921320887e-05,0.0018590672912467,0.00133417243371745,"Tgfb2/Kcnh1/Ntrk2/Ezr/Plch1/Pdgfra/Pitpnm2/Nedd4",8,"HPPvsCTX","H3K27ac"
"GO:00031512","BP","GO:0003151","outflow tract morphogenesis","6/213","86/28943",4.26396883222907e-05,0.00188162853182223,0.00135036366325931,"Tgfb2/Bmp7/Tgfbr3/Parva/Smad6/Nedd4",6,"HPPvsCTX","H3K27ac"
"GO:00328781","BP","GO:0032878","regulation of establishment or maintenance of cell polarity","4/213","27/28943",4.38196333893675e-05,0.00190242273455258,0.00136528676593268,"Llgl2/Plekhg3/Kank1/Shtn1",4,"HPPvsCTX","H3K27ac"
"GO:00461891","BP","GO:0046189","phenol-containing compound biosynthetic process","5/213","53/28943",4.43426470986682e-05,0.00190242273455258,0.00136528676593268,"Tgfb2/Kl/Oca2/Myo5a/Trpc1",5,"HPPvsCTX","H3K27ac"
"GO:00424762","BP","GO:0042476","odontogenesis","7/213","129/28943",4.9555111387183e-05,0.00208119995606656,0.00149358746910981,"Edar/Lamb1/Slc24a4/Bmp7/Msx1/Pdgfra/Myo5a",7,"HPPvsCTX","H3K27ac"
"GO:0009306","BP","GO:0009306","protein secretion","12/213","404/28943",4.98571695529057e-05,0.00208119995606656,0.00149358746910981,"Tgfb2/Srebf1/Llgl2/Abat/Adcy5/Ezr/Fbn1/Ptpn11/Syt9/Sfrp1/Myo5a/Myrip",12,"HPPvsCTX","H3K27ac"
"GO:0035592","BP","GO:0035592","establishment of protein localization to extracellular region","12/213","405/28943",5.10518810449374e-05,0.00208816832716017,0.00149858836857416,"Tgfb2/Srebf1/Llgl2/Abat/Adcy5/Ezr/Fbn1/Ptpn11/Syt9/Sfrp1/Myo5a/Myrip",12,"HPPvsCTX","H3K27ac"
"GO:00016671","BP","GO:0001667","ameboidal-type cell migration","13/213","471/28943",5.1399614543848e-05,0.00208816832716017,0.00149858836857416,"Tgfb2/Fgf18/Dock5/Emp2/Kank1/Crb2/Fap/Bmp7/Cxcl13/Tgfbr3/Ptpn11/Aqp1/Iqsec1",13,"HPPvsCTX","H3K27ac"
"GO:00515921","BP","GO:0051592","response to calcium ion","7/213","130/28943",5.20521078638177e-05,0.00208816832716017,0.00149858836857416,"Kcnh1/Adgrv1/Anxa11/Slc25a13/Syt9/Cpne2/Trpc1",7,"HPPvsCTX","H3K27ac"
"GO:00514802","BP","GO:0051480","regulation of cytosolic calcium ion concentration","5/213","55/28943",5.31167221536064e-05,0.00210355839400628,0.0015096331559446,"Kcnh1/Atp2b2/Myo5a/Trpc1/Atp2b3",5,"HPPvsCTX","H3K27ac"
"GO:00016562","BP","GO:0001656","metanephros development","6/213","91/28943",5.86374171447149e-05,0.00226864023517129,0.00162810527517702,"Fbn1/Bmp7/Pdgfra/Fras1/Aqp1/Yap1",6,"HPPvsCTX","H3K27ac"
"GO:0071692","BP","GO:0071692","protein localization to extracellular region","12/213","411/28943",5.87540365211082e-05,0.00226864023517129,0.00162810527517702,"Tgfb2/Srebf1/Llgl2/Abat/Adcy5/Ezr/Fbn1/Ptpn11/Syt9/Sfrp1/Myo5a/Myrip",12,"HPPvsCTX","H3K27ac"
"GO:00300731","BP","GO:0030073","insulin secretion","9/213","235/28943",6.57812424983127e-05,0.00250862047008998,0.00180032874205909,"Srebf1/Abat/Adcy5/Fbn1/Ptpn11/Syt9/Sfrp1/Myo5a/Myrip",9,"HPPvsCTX","H3K27ac"
"GO:00428861","BP","GO:0042886","amide transport","11/213","353/28943",6.72053076639483e-05,0.0025316731143163,0.00181687263081226,"Srebf1/Abat/Adcy5/Fbn1/Ptpn11/Aqp1/Syt9/Sfrp1/Myo5a/Myrip/Slc16a2",11,"HPPvsCTX","H3K27ac"
"GO:00507731","BP","GO:0050773","regulation of dendrite development","7/213","137/28943",7.25725003247899e-05,0.00270092112654549,0.00193833463137613,"Hecw2/Ntrk2/Sdc2/Myo5b/Vldlr/Bmp7/Nedd4",7,"HPPvsCTX","H3K27ac"
"GO:0030947","BP","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway","4/213","31/28943",7.67727618558102e-05,0.00282322692110235,0.00202610822642025,"Grb10/Fgf18/Myof/Nedd4",4,"HPPvsCTX","H3K27ac"
"GO:0044344","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","6/213","96/28943",7.91048529756082e-05,0.0028404074570065,0.00203843795623032,"Sulf1/Fgf18/Cxcl13/Ptpn11/Kl/Sfrp1",6,"HPPvsCTX","H3K27ac"
"GO:00400131","BP","GO:0040013","negative regulation of locomotion","11/213","360/28943",8.00165275709347e-05,0.0028404074570065,0.00203843795623032,"Sulf1/Tmeff2/Ptprk/Kank1/Magi2/Ppargc1a/Cxcl13/Tgfbr3/Srgap3/Abhd2/Sfrp1",11,"HPPvsCTX","H3K27ac"
"GO:00068752","BP","GO:0006875","cellular metal ion homeostasis","12/213","425/28943",8.07345440680777e-05,0.0028404074570065,0.00203843795623032,"Atp1b1/Tgfb2/Kcnh1/Slc24a4/Bmp6/Scara5/Fxn/Steap2/Atp2b2/Myo5a/Trpc1/Atp2b3",12,"HPPvsCTX","H3K27ac"
"GO:00163312","BP","GO:0016331","morphogenesis of embryonic epithelium","8/213","188/28943",8.09180499244325e-05,0.0028404074570065,0.00203843795623032,"Sulf1/Tgfb2/Llgl2/Sfrp5/Bmp7/Grhl3/Tulp3/Sfrp1",8,"HPPvsCTX","H3K27ac"
"GO:0030278","BP","GO:0030278","regulation of ossification","7/213","140/28943",8.31837102110995e-05,0.00285504978713429,0.00204894612519971,"Bmp6/Adgrv1/Bmp7/Ptpn11/Kl/Sfrp1/Smad6",7,"HPPvsCTX","H3K27ac"
"GO:0031623","BP","GO:0031623","receptor internalization","7/213","140/28943",8.31837102110995e-05,0.00285504978713429,0.00204894612519971,"Ezr/Lrrtm2/Magi2/Iqsec1/Pard3/Nedd4/Myo6",7,"HPPvsCTX","H3K27ac"
"GO:0061448","BP","GO:0061448","connective tissue development","10/213","302/28943",8.76212750712632e-05,0.00291029291804836,0.00208859173822557,"Sulf1/Tgfb2/Fgf18/Itgb8/Bmp6/Bmp7/Msx1/Ppargc1a/Ptpn11/Fto",10,"HPPvsCTX","H3K27ac"
"GO:0140115","BP","GO:0140115","export across plasma membrane","5/213","61/28943",8.76453629713322e-05,0.00291029291804836,0.00208859173822557,"Atp1b1/Slc24a4/Kcne2/Slc29a4/Atp2b3",5,"HPPvsCTX","H3K27ac"
"GO:00068132","BP","GO:0006813","potassium ion transport","9/213","244/28943",8.76744486671462e-05,0.00291029291804836,0.00208859173822557,"Atp1b1/Kcnh1/Slc24a4/Kcne2/Stk39/Aqp1/Kcna6/Kcnk1/Nedd4",9,"HPPvsCTX","H3K27ac"
"GO:0071774","BP","GO:0071774","response to fibroblast growth factor","6/213","98/28943",8.87321364335251e-05,0.00291029291804836,0.00208859173822557,"Sulf1/Fgf18/Cxcl13/Ptpn11/Kl/Sfrp1",6,"HPPvsCTX","H3K27ac"
"GO:0050796","BP","GO:0050796","regulation of insulin secretion","8/213","191/28943",9.03539834856633e-05,0.00291029291804836,0.00208859173822557,"Srebf1/Abat/Adcy5/Fbn1/Ptpn11/Syt9/Sfrp1/Myrip",8,"HPPvsCTX","H3K27ac"
"GO:00487622","BP","GO:0048762","mesenchymal cell differentiation","9/213","245/28943",9.04461379516485e-05,0.00291029291804836,0.00208859173822557,"Tgfb2/Crb2/Bmp7/Pdpn/Msx1/Tgfbr3/Sfrp1/Phldb1/Gsc",9,"HPPvsCTX","H3K27ac"
"GO:0045778","BP","GO:0045778","positive regulation of ossification","5/213","62/28943",9.4767290140248e-05,0.00301789854889924,0.00216581565963497,"Bmp6/Adgrv1/Bmp7/Ptpn11/Kl",5,"HPPvsCTX","H3K27ac"
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","11/213","368/28943",9.71661860796918e-05,0.00306271784489967,0.00219798053580914,"Tmeff2/Tgfb2/Arhgap44/Fam107a/Arhgap28/Kank1/Rnd3/Tmod1/Grhl3/Arhgef19/Cttn",11,"HPPvsCTX","H3K27ac"
"GO:00101711","BP","GO:0010171","body morphogenesis","5/213","63/28943",0.000102325555446688,0.00319276404823051,0.0022913090884713,"Tgfb2/Msx1/Pdgfra/Ptpn11/Phldb1",5,"HPPvsCTX","H3K27ac"
"GO:00068141","BP","GO:0006814","sodium ion transport","9/213","250/28943",0.000105433427801729,0.00325683858479541,0.00233729262053096,"Hecw2/Atp1b1/Slc24a4/Cntn1/Slc5a3/Slc4a10/Stk39/Kcnk1/Nedd4",9,"HPPvsCTX","H3K27ac"
