"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"58" "antiquewhite4" "R-MMU-556833" "Metabolism of lipids" "26/187" "477/6837" 0.000516107336527281 0.0442802566619766 0.042410702736977 "Ormdl1/Sgpl1/Agpat3/Ltc4s/Arf1/Abcc3/Stard3/Agmo/Arsk/Liph/Ctsa/B3galnt1/Gba/Tnfaip8l2/Tgs1/Srd5a3/Mgll/Lpcat3/Stard5/Thrsp/Asah1/Inpp4b/Lpcat2/Pla2g15/Slc44a2/Hexa" 26
"59" "antiquewhite4" "R-MMU-428157" "Sphingolipid metabolism" "8/187" "69/6837" 0.000540867548468834 0.0442802566619766 0.042410702736977 "Ormdl1/Sgpl1/Arsk/Ctsa/B3galnt1/Gba/Asah1/Hexa" 8
"60" "antiquewhite4" "R-MMU-9006335" "Signaling by Erythropoietin" "4/187" "15/6837" 0.000583915472465626 0.0442802566619766 0.042410702736977 "Crkl/Vav1/Lyn/Epor" 4
"61" "salmon4" "R-MMU-9013149" "RAC1 GTPase cycle" "16/125" "152/6837" 1.25528829293969e-08 5.2596579474173e-06 4.51903785458288e-06 "Dock10/Srgap2/Fmnl1/Arhgap27/Arhgap22/Spata13/Sh3bp1/Def6/Arap3/Dock8/Wasf2/Git2/Arap1/Gmip/Pkn1/Ophn1" 16
"62" "salmon4" "R-MMU-9013148" "CDC42 GTPase cycle" "11/125" "80/6837" 1.76583265578225e-07 3.69941941386381e-05 3.17849878040805e-05 "Dock10/Srgap2/Arhgap27/Arhgap22/Spata13/Def6/Arap3/Dock8/Arap1/Gmip/Ophn1" 11
"63" "salmon4" "R-MMU-451927" "Interleukin-2 family signaling" "6/125" "28/6837" 8.97261089125247e-06 0.00125317465447826 0.0010767133069503 "Inpp5d/Stat5b/Syk/Shc1/Pik3cd/Il21r" 6
"64" "salmon4" "R-MMU-9012999" "RHO GTPase cycle" "18/125" "365/6837" 0.000101417264027563 0.0106234584068872 0.00912755376248063 "Dock10/Srgap2/Ankfy1/Fmnl1/Arhgap27/Arhgap22/Spata13/Sh3bp1/Fmnl3/Def6/Arap3/Dock8/Wasf2/Git2/Arap1/Gmip/Pkn1/Ophn1" 18
"65" "salmon4" "R-MMU-449147" "Signaling by Interleukins" "13/125" "229/6837" 0.000260936710469355 0.0177431977182353 0.0152447522161449 "Inpp5d/Stat6/Mapk7/Stat5b/Syk/Shc1/Il6ra/Pik3cd/Nod1/Irak2/Il4ra/Il21r/Tyk2" 13
"66" "salmon4" "R-MMU-2029480" "Fcgamma receptor (FCGR) dependent phagocytosis" "7/125" "71/6837" 0.000290784601679047 0.0177431977182353 0.0152447522161449 "Elmo1/Syk/Prkcd/Abl1/Wipf1/Wasf2/Limk1" 7
"67" "salmon4" "R-MMU-112043" "PLC beta mediated events" "5/125" "33/6837" 0.000296831754067819 0.0177431977182353 0.0152447522161449 "Gna15/Prkca/Prkcd/Plcb3/Plcb2" 5
"68" "salmon4" "R-MMU-2029482" "Regulation of actin dynamics for phagocytic cup formation" "6/125" "52/6837" 0.000338772271469886 0.0177431977182353 0.0152447522161449 "Elmo1/Syk/Abl1/Wipf1/Wasf2/Limk1" 6
"69" "salmon4" "R-MMU-112040" "G-protein mediated events" "5/125" "37/6837" 0.000514233393947071 0.0239404213404247 0.0205693357578828 "Gna15/Prkca/Prkcd/Plcb3/Plcb2" 5
"70" "salmon4" "R-MMU-512988" "Interleukin-3, Interleukin-5 and GM-CSF signaling" "5/125" "38/6837" 0.00058356996937654 0.024451581716877 0.0210085188975554 "Inpp5d/Stat5b/Syk/Shc1/Pik3cd" 5
"71" "salmon4" "R-MMU-400451" "Free fatty acids regulate insulin secretion" "3/125" "10/6837" 0.000651826445014502 0.0248286618600979 0.0213325018368383 "Gna15/Plcb3/Plcb2" 3
"72" "salmon4" "R-MMU-6785807" "Interleukin-4 and Interleukin-13 signaling" "3/125" "11/6837" 0.000884328390299803 0.0308777996279681 0.0265298517089941 "Stat6/Il4ra/Tyk2" 3
"73" "salmon4" "R-MMU-1280215" "Cytokine Signaling in Immune system" "15/125" "334/6837" 0.0010646913859636 0.0343158223629807 0.0294837614574536 "Inpp5d/Stat6/Mapk7/Stat5b/Syk/Prkcd/Shc1/Il6ra/Pik3cd/Sh2b3/Nod1/Irak2/Il4ra/Il21r/Tyk2" 15
"74" "salmon4" "R-MMU-1250196" "SHC1 events in ERBB2 signaling" "3/125" "13/6837" 0.00149234005408729 0.0433508197361371 0.0372465276969197 "Prkca/Prkcd/Shc1" 3
"75" "salmon4" "R-MMU-397795" "G-protein beta:gamma signalling" "4/125" "28/6837" 0.00155193865403832 0.0433508197361371 0.0372465276969197 "Pik3r5/Pik3r6/Plcb3/Plcb2" 4
"76" "salmon4" "R-MMU-8980692" "RHOA GTPase cycle" "8/125" "124/6837" 0.00186780486114893 0.0489131398013376 0.0420256093758509 "Arhgap22/Fmnl3/Def6/Arap3/Arap1/Gmip/Pkn1/Ophn1" 8
