"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"32" "black" "mmu04820" "Cytoskeleton in muscle cells - Mus musculus (house mouse)" "44/920" "194/6190" 0.00211120198945109 0.0219037206405551 0.0193063866140593 "12829/12828/11931/98660/64009/13008/20742/16400/16399/20969/208846/319565/212073/320910/109620/67399/140781/56419/15529/20649/14114/67451/21826/13506/13527/13511/16420/14118/12841/21827/213119/21916/15530/13806/24051/77053/12843/68794/13807/71960/14199/12830/59006/665033" 44
"33" "black" "mmu04922" "Glucagon signaling pathway - Mus musculus (house mouse)" "22/920" "80/6190" 0.00238122332501964 0.0239565498153491 0.0211157921644485 "56421/68263/19013/12895/18642/12894/19309/18648/110078/108079/19017/100705/16438/16832/12315/11652/78070/14936/102093/18746/75600/18597" 22
"34" "black" "mmu00350" "Tyrosine metabolism - Mus musculus (house mouse)" "10/920" "26/6190" 0.00275278845977834 0.0268801696660708 0.0236927303968538 "11761/17319/13190/68636/14718/14085/76615/14719/234724/109731" 10
"35" "black" "mmu04976" "Bile secretion - Mus musculus (house mouse)" "17/920" "59/6190" 0.00426832804480944 0.0397049277904483 0.0349967340702112 "94284/11931/98660/13849/239273/11512/224129/27409/12349/320024/230161/20535/20537/232156/28254/108096/28253" 17
"36" "black" "mmu00982" "Drug metabolism - cytochrome P450 - Mus musculus (house mouse)" "12/920" "36/6190" 0.00430535361583174 0.0397049277904483 0.0349967340702112 "14859/11761/94284/103140/14871/14866/14862/14863/76263/56615/14860/109731" 12
"37" "black" "mmu04146" "Peroxisome - Mus musculus (house mouse)" "21/920" "79/6190" 0.00459177550671015 0.0401176175849413 0.0353604872815906 "15926/70503/216739/11430/69123/93732/56794/13850/93734/20655/20656/67993/54683/16922/68603/230161/18477/76263/18631/67528/208982" 21
"38" "black" "mmu04512" "ECM-receptor interaction - Mus musculus (house mouse)" "21/920" "79/6190" 0.00459177550671015 0.0401176175849413 0.0353604872815906 "12829/12828/16782/16400/16399/20969/16777/320910/21826/16420/16776/12841/21827/64051/213119/329872/15530/231470/12843/12830/665033" 21
"39" "black" "mmu05204" "Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)" "11/920" "32/6190" 0.00474353977824989 0.0403809027276657 0.0355925521822799 "14859/94284/13849/103140/14871/14866/14862/14863/76263/56615/14860" 11
"40" "blue" "mmu04668" "TNF signaling pathway - Mus musculus (house mouse)" "12/94" "104/6190" 4.0477295910869e-08 8.33832295763902e-06 6.39115198592669e-06 "19225/21929/16362/26397/18035/11911/21926/26410/16476/16477/11796/15894" 12
"41" "blue" "mmu05202" "Transcriptional misregulation in cancer - Mus musculus (house mouse)" "13/94" "145/6190" 2.20474359746056e-07 2.27088590538437e-05 1.74058705062675e-05 "108829/17873/13198/19696/13207/15081/17869/80859/12575/12475/18124/56312/11796" 13
"42" "blue" "mmu05140" "Leishmaniasis - Mus musculus (house mouse)" "8/94" "66/6190" 5.84042493898174e-06 0.000401042512476746 0.000307390786262197 "19225/18035/21926/16175/24088/16476/17357/18036" 8
"43" "blue" "mmu04010" "MAPK signaling pathway - Mus musculus (house mouse)" "14/94" "261/6190" 3.33878213849022e-05 0.00164034147070208 0.0012572877905228 "17873/13198/26397/17869/11911/15370/19252/21926/26410/12475/16175/16476/13836/319520" 14
"44" "blue" "mmu05132" "Salmonella infection - Mus musculus (house mouse)" "13/94" "231/6190" 3.98141133665553e-05 0.00164034147070208 0.0012572877905228 "216799/26397/11841/18035/22151/17869/21926/12475/24088/192656/16476/12363/11796" 13
"45" "blue" "mmu05169" "Epstein-Barr virus infection - Mus musculus (house mouse)" "11/94" "175/6190" 6.05773830256972e-05 0.00186438065088692 0.00142900918565681 "21929/17873/26397/18035/17869/12575/21926/24088/16476/18036/15894" 11
"46" "blue" "mmu04064" "NF-kappa B signaling pathway - Mus musculus (house mouse)" "8/94" "91/6190" 6.33527405641186e-05 0.00186438065088692 0.00142900918565681 "19225/21929/17873/18035/21926/12475/11796/15894" 8
"47" "blue" "mmu04210" "Apoptosis - Mus musculus (house mouse)" "9/94" "127/6190" 0.000118547061074787 0.00305258682267576 0.00233974462647606 "17873/13198/18035/11911/21926/58801/17210/16476/11796" 9
