"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"11","BP","GO:0001822","kidney development","14/343","293/18791",0.00103883344026454,0.0415533376105816,0.035501760033921,"Aqp1/Bmp6/Bmp7/Col4a4/Fbn1/Fras1/Mir125b-1/Pdgfra/Pygo1/Sfrp1/Smad6/Sulf1/Tgfb2/Yap1",14,"HPP vs CTX","HPP","CTX"
"12","BP","GO:0001837","epithelial to mesenchymal transition","11/343","133/18791",3.31791080438473e-05,0.0087190846164858,0.00744928969775716,"Bmp7/Crb2/Dab2ip/Gsc/Lef1/Msx1/Pdpn/Phldb1/Sfrp1/Tgfb2/Tgfbr3",11,"HPP vs CTX","HPP","CTX"
"13","BP","GO:0001837","epithelial to mesenchymal transition","6/127","133/18791",0.00028814776646663,0.0180051190075005,0.0151830041157755,"Bmp7/Dab2ip/Lef1/Msx1/Tgfb2/Tgfbr3",6,"HPP vs STR","HPP","STR"
"14","BP","GO:0001941","postsynaptic membrane organization","1/5","46/18791",0.0121814127547332,0.0377741847827591,0.0129659673167365,"Magi2",1,"STR vs CTX","STR","CTX"
"15","BP","GO:0001946","lymphangiogenesis","4/282","18/18791",0.000128703533431967,0.0456375387109891,0.0416046272070096,"Acvrl1/Epha2/Nfatc1/Ptpn14",4,"CTX vs STR","CTX","STR"
"16","BP","GO:0002090","regulation of receptor internalization","1/5","66/18791",0.0174405105929,0.0411417172960717,0.0141218709254251,"Magi2",1,"STR vs CTX","STR","CTX"
"17","BP","GO:0002092","positive regulation of receptor internalization","1/5","32/18791",0.00848666392991837,0.0377741847827591,0.0129659673167365,"Magi2",1,"STR vs CTX","STR","CTX"
"18","BP","GO:0002790","peptide secretion","13/343","257/18791",0.000928807919225963,0.0393904081406674,0.0336538265723345,"Abat/Adcy5/Aqp1/Eipr1/Fbn1/Myo5a/Myrip/Per2/Ptpn11/Sfrp1/Slc16a2/Srebf1/Syt9",13,"HPP vs CTX","HPP","CTX"
"19","BP","GO:0003007","heart morphogenesis","8/127","244/18791",0.000255979547331213,0.0172752613008929,0.0145675440036408,"Adamts1/Bmp7/Msx1/Parva/Smad6/Tgfb2/Tgfbr3/Yap1",8,"HPP vs STR","HPP","STR"
"20","BP","GO:0003013","circulatory system process","21/343","489/18791",0.000274836534596247,0.0205922194891659,0.0175932927872449,"Abat/Atp1b1/Bmp6/Dock5/Dsg2/Emp2/Esr2/Hopx/Kcne2/Kl/Myh6/Per2/Slc16a2/Slc4a5/Smad6/Srebf1/Stk39/Tgfb2/Tgfbr3/Ttn/Yap1",21,"HPP vs CTX","HPP","CTX"
"21","BP","GO:0003148","outflow tract septum morphogenesis","3/127","26/18791",0.000699632688332442,0.0325552487102777,0.027452552518666,"Parva/Smad6/Tgfb2",3,"HPP vs STR","HPP","STR"
"22","BP","GO:0003151","outflow tract morphogenesis","5/127","77/18791",0.000174438042025001,0.0158956665795282,0.0134041863871843,"Bmp7/Parva/Smad6/Tgfb2/Tgfbr3",5,"HPP vs STR","HPP","STR"
"23","BP","GO:0003203","endocardial cushion morphogenesis","3/127","31/18791",0.00118013181853304,0.0395472246782475,0.0333486090709646,"Bmp7/Msx1/Tgfb2",3,"HPP vs STR","HPP","STR"
"24","BP","GO:0003205","cardiac chamber development","6/127","170/18791",0.00105244896942729,0.0383617649356247,0.0323489577971335,"Adamts1/Bmp7/Parva/Smad6/Tgfb2/Tgfbr3",6,"HPP vs STR","HPP","STR"
"25","BP","GO:0003206","cardiac chamber morphogenesis","6/127","129/18791",0.000244345634559766,0.0172752613008929,0.0145675440036408,"Adamts1/Bmp7/Parva/Smad6/Tgfb2/Tgfbr3",6,"HPP vs STR","HPP","STR"
"26","BP","GO:0003272","endocardial cushion formation","3/127","25/18791",0.000621964653377461,0.0309144703849206,0.0260689491080697,"Bmp7/Msx1/Tgfb2",3,"HPP vs STR","HPP","STR"
"27","BP","GO:0003279","cardiac septum development","5/127","112/18791",0.000981516313911128,0.0374587444511081,0.0315874763691389,"Bmp7/Parva/Smad6/Tgfb2/Tgfbr3",5,"HPP vs STR","HPP","STR"
"28","BP","GO:0003401","axis elongation","3/127","31/18791",0.00118013181853304,0.0395472246782475,0.0333486090709646,"Nat8f3/Sfrp5/Yap1",3,"HPP vs STR","HPP","STR"
"29","BP","GO:0006582","melanin metabolic process","1/5","23/18791",0.00610563613667947,0.0377741847827591,0.0129659673167365,"Oca2",1,"STR vs CTX","STR","CTX"
"30","BP","GO:0006672","ceramide metabolic process","8/278","84/18791",3.42157165611888e-05,0.0203515082105951,0.0196938461217453,"Cers4/Fa2h/Galc/Itgb8/Sgpl1/St3gal1/St6galnac3/Ugt8a",8,"VTA vs PFC","VTA","PFC"
"31","BP","GO:0006677","glycosylceramide metabolic process","4/278","13/18791",3.0173231612658e-05,0.0203515082105951,0.0196938461217453,"Fa2h/Galc/St6galnac3/Ugt8a",4,"VTA vs PFC","VTA","PFC"
"32","BP","GO:0006687","glycosphingolipid metabolic process","6/278","45/18791",4.98422456408559e-05,0.0247051397559842,0.0239067894003684,"Fa2h/Galc/Itgb8/St3gal1/St6galnac3/Ugt8a",6,"VTA vs PFC","VTA","PFC"
"33","BP","GO:0006873","cellular ion homeostasis","10/127","456/18791",0.00107135361709734,0.0384106616490473,0.0323901904599576,"Atp2b2/Atp2b3/Htr2c/Itpr1/Kcnh1/Scara5/Steap2/Stim2/Stk39/Tgfb2",10,"HPP vs STR","HPP","STR"
"34","BP","GO:0006875","cellular metal ion homeostasis","9/127","371/18791",0.000948372863840299,0.037037347378906,0.0312321288994023,"Atp2b2/Atp2b3/Htr2c/Itpr1/Kcnh1/Scara5/Steap2/Stim2/Tgfb2",9,"HPP vs STR","HPP","STR"
"35","BP","GO:0006929","substrate-dependent cell migration","1/2","27/18791",0.00287172793901169,0.0275685882145122,0.00241829721179932,"Shtn1",1,"STR vs PFC","STR","PFC"
"36","BP","GO:0007015","actin filament organization","21/343","397/18791",1.42455169634254e-05,0.00793191113727535,0.00677675541841976,"Arhgap28/Cryaa/Cttn/Dpysl3/Emp2/Ezr/Fam107a/Gas7/Kank1/Myo5a/Myo5b/Myo6/Nck2/Prox1/Rnd3/Samd14/Sh3pxd2b/Shtn1/Tmeff2/Tmod1/Ttn",21,"HPP vs CTX","HPP","CTX"
"37","BP","GO:0007029","endoplasmic reticulum organization","1/2","84/18791",0.00892070414400425,0.039072842073995,0.00342744228719254,"Shtn1",1,"STR vs PFC","STR","PFC"
"38","BP","GO:0007163","establishment or maintenance of cell polarity","1/2","206/18791",0.0218057861710601,0.0418671094484354,0.00367255346038907,"Shtn1",1,"STR vs PFC","STR","PFC"
"39","BP","GO:0007163","establishment or maintenance of cell polarity","14/343","206/18791",2.70073809575269e-05,0.00793191113727535,0.00677675541841976,"Aqp1/Crb2/Ezr/Fez1/Golph3/Kank1/Llgl2/Pard3/Parva/Plekhg3/Prickle2/Rnd3/Shtn1/Snap91",14,"HPP vs CTX","HPP","CTX"
"40","BP","GO:0007163","establishment or maintenance of cell polarity","9/187","206/18791",0.000226776550656207,0.0336385216806707,0.0298920669695375,"BC034090/Fat1/Fez1/Golph3/Pard3/Parva/Plekhg3/Prickle2/Shtn1",9,"HPP vs PFC","HPP","PFC"
"41","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","11/127","355/18791",2.95511310892551e-05,0.00608047347556176,0.00512742258281434,"Bmp7/Fbn1/Htra3/Lef1/Msx1/Sfrp5/Smad6/Sulf1/Tgfb2/Tgfbr3/Zfp423",11,"HPP vs STR","HPP","STR"
"42","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","18/343","355/18791",0.000100097705506242,0.0115338984695631,0.00985417103096346,"Bmp6/Bmp7/Crb2/Fbn1/Itgb8/Lef1/Magi2/Msx1/Nceh1/Ptprk/Scx/Sfrp1/Sfrp5/Smad6/Sulf1/Tgfb2/Tgfbr3/Wfikkn2",18,"HPP vs CTX","HPP","CTX"
"43","BP","GO:0007219","Notch signaling pathway","6/127","160/18791",0.000768266713690419,0.0349570551327486,0.0294779007978127,"Bmp7/Nrarp/Tcim/Tgfb2/Yap1/Zfp423",6,"HPP vs STR","HPP","STR"
"44","BP","GO:0007266","Rho protein signal transduction","1/2","124/18791",0.0131546108054117,0.0394638324162351,0.00346173968563466,"Shtn1",1,"STR vs PFC","STR","PFC"
"45","BP","GO:0007272","ensheathment of neurons","11/343","152/18791",0.000111974987129171,0.0115338984695631,0.00985417103096346,"Cntn1/Degs1/Fa2h/Mir204/Mir23b/Mpdz/Myo5a/Ntrk2/Pard3/Tmem98/Ugt8a",11,"HPP vs CTX","HPP","CTX"
"46","BP","GO:0007272","ensheathment of neurons","14/278","152/18791",6.10044790585859e-08,6.04757735734115e-05,5.85214897354996e-05,"Cxcr4/Fa2h/Galc/Gjc3/Mal/Mir100/Mir204/Mir23b/Myo5a/Ndrg1/Pard3/Sox10/Ugt8a/Wasf3",14,"VTA vs PFC","VTA","PFC"
"47","BP","GO:0007272","ensheathment of neurons","22/548","152/18791",5.87414043539127e-10,8.0064534134383e-07,7.67348240033744e-07,"Bcas1/Cntn1/Cxcr4/Degs1/Fa2h/Galc/Gjc3/Igf1/Itgax/Mal/Mall/Mir100/Mir204/Mir23b/Myo5a/Ndrg1/Nkx6-2/Olig2/Pard3/Sox10/Tmem98/Ugt8a",22,"VTA vs CTX","VTA","CTX"
"48","BP","GO:0007272","ensheathment of neurons","8/187","152/18791",0.000143317060360001,0.0311831985974819,0.0277102028932482,"Cntn1/Mir204/Mir23b/Myo5a/Ntrk2/Pard3/Plp1/Ugt8a",8,"HPP vs PFC","HPP","PFC"
"49","BP","GO:0007605","sensory perception of sound","1/1","207/18791",0.0110159118727049,0.0123463360119205,NA,"Mir152",1,"PFC vs STR","PFC","STR"
"50","BP","GO:0007626","locomotory behavior","13/343","228/18791",0.000301213810976316,0.0205922194891659,0.0175932927872449,"Abat/Adcy5/Atp2b2/Cntn1/Fxn/Gprc5b/Lmx1a/Myo5a/Myo6/Pak5/Shank2/Slc4a10/Tmod1",13,"HPP vs CTX","HPP","CTX"
"51","BP","GO:0008015","blood circulation","19/343","459/18791",0.000827658619042377,0.0378358225847944,0.0323256414846763,"Abat/Atp1b1/Bmp6/Dock5/Dsg2/Emp2/Esr2/Hopx/Kcne2/Kl/Myh6/Per2/Slc4a5/Smad6/Srebf1/Stk39/Tgfb2/Tgfbr3/Ttn",19,"HPP vs CTX","HPP","CTX"
"52","BP","GO:0008347","glial cell migration","4/127","62/18791",0.000819903397651249,0.0351593868757506,0.029648519147265,"Dab2ip/Lamb1/Syne2/Tgfb2",4,"HPP vs STR","HPP","STR"
"53","BP","GO:0008361","regulation of cell size","1/2","177/18791",0.0187505772369766,0.0402316742850011,0.00352909423552641,"Shtn1",1,"STR vs PFC","STR","PFC"
"54","BP","GO:0008366","axon ensheathment","11/343","152/18791",0.000111974987129171,0.0115338984695631,0.00985417103096346,"Cntn1/Degs1/Fa2h/Mir204/Mir23b/Mpdz/Myo5a/Ntrk2/Pard3/Tmem98/Ugt8a",11,"HPP vs CTX","HPP","CTX"
"55","BP","GO:0008366","axon ensheathment","14/278","152/18791",6.10044790585859e-08,6.04757735734115e-05,5.85214897354996e-05,"Cxcr4/Fa2h/Galc/Gjc3/Mal/Mir100/Mir204/Mir23b/Myo5a/Ndrg1/Pard3/Sox10/Ugt8a/Wasf3",14,"VTA vs PFC","VTA","PFC"
"56","BP","GO:0008366","axon ensheathment","22/548","152/18791",5.87414043539127e-10,8.0064534134383e-07,7.67348240033744e-07,"Bcas1/Cntn1/Cxcr4/Degs1/Fa2h/Galc/Gjc3/Igf1/Itgax/Mal/Mall/Mir100/Mir204/Mir23b/Myo5a/Ndrg1/Nkx6-2/Olig2/Pard3/Sox10/Tmem98/Ugt8a",22,"VTA vs CTX","VTA","CTX"
