"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","result"
2471.97553929166,-0.696028516032589,0.142828088960609,-4.87319070847855,1.09810126309092e-06,1.58727767888179e-05,"Ermap","erythroblast membrane-associated protein","27028","HPP_vs_CTX"
2115.7051759083,-0.695778293478794,0.0996498148279408,-6.98223368182019,2.90523351105713e-12,1.07010349646405e-10,"Slc13a3","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3","114644","HPP_vs_CTX"
3448.9382029891,-0.69489736874292,0.130579375850817,-5.32164719133609,1.02831858514087e-07,1.8563901177263e-06,"Tmc7","transmembrane channel-like gene family 7","209760","HPP_vs_CTX"
29262.2554038153,-0.686339916612579,0.107718609550701,-6.37160022279655,1.87065984075701e-10,5.39198328360211e-09,"Cd33","CD33 antigen","12489","HPP_vs_CTX"
1761.54707117059,-0.684317781358912,0.218090939098301,-3.13776346779114,0.00170242196749051,0.0102540006295371,"Sema4b","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B","20352","HPP_vs_CTX"
539.479702786456,-0.678882294847602,0.20086325947714,-3.37982315240117,0.00072532484151152,0.00501524291584527,"9630028I04Rik","RIKEN cDNA 9630028I04 gene","319720","HPP_vs_CTX"
4021.89571779666,-0.678817129182606,0.130664227931067,-5.1951260106226,2.04581219040673e-07,3.43940039086066e-06,"Eva1a","eva-1 homolog A (C. elegans)","232146","HPP_vs_CTX"
1499.23072578812,-0.672617075451303,0.123915632365829,-5.42802439538521,5.69812528365048e-08,1.08214396834239e-06,"Cd101","CD101 antigen","630146","HPP_vs_CTX"
28069.6756290093,-0.672187247041622,0.0992043403938717,-6.77578465188954,1.23732866107857e-11,4.20756526372005e-10,"P2ry6","pyrimidinergic receptor P2Y, G-protein coupled, 6","233571","HPP_vs_CTX"
56.0519641149699,-0.671370778662069,0.253401681217714,-2.649433008636,0.0080626955166568,0.0374302939351823,"Gm39859","predicted gene, 39859","105244210","HPP_vs_CTX"
976.906227011889,-0.670498796770729,0.22126406862653,-3.03031034786972,0.00244302563065777,0.013886334426303,"Gm34280","predicted gene, 34280","102637485","HPP_vs_CTX"
1024.68926786388,-0.667177804668563,0.18512255903166,-3.60397894323869,0.000313382456454494,0.00243860110384018,"Ccl24","chemokine (C-C motif) ligand 24","56221","HPP_vs_CTX"
23590.1515369758,-0.666198363403708,0.110805033094204,-6.01234749722352,1.82855825351267e-09,4.53300986891785e-08,"Pag1","phosphoprotein associated with glycosphingolipid microdomains 1","94212","HPP_vs_CTX"
895.539231687196,-0.663872113390852,0.228247272887165,-2.90856536857306,0.00363091259622976,0.0193407140343185,"Fcgr4","Fc receptor, IgG, low affinity IV","246256","HPP_vs_CTX"
637.38766412652,-0.661824853324973,0.251216032964024,-2.63448493122153,0.00842650440245394,0.0387241599721262,"Chst10","carbohydrate sulfotransferase 10","98388","HPP_vs_CTX"
3099.54772074578,-0.659748036903295,0.217831121234557,-3.02871340497251,0.00245597548840017,0.0139477360511447,"E2f3","E2F transcription factor 3","13557","HPP_vs_CTX"
90524.8375417272,-0.659640285984974,0.113943082793231,-5.78920869801288,7.07187865777568e-09,1.583856961457e-07,"Adgre1","adhesion G protein-coupled receptor E1","13733","HPP_vs_CTX"
183.48635154158,-0.658165110694567,0.213914858257291,-3.0767620167036,0.00209262298746085,0.0121824795072228,"Gm32703","predicted gene, 32703","102635337","HPP_vs_CTX"
1670.71748930975,-0.654985890618883,0.246415458097967,-2.65805520349491,0.00785930183306929,0.0366447705712743,"Slc1a4","solute carrier family 1 (glutamate/neutral amino acid transporter), member 4","55963","HPP_vs_CTX"
14638.2678458906,-0.654647660214618,0.170261219043839,-3.84496049006943,0.000120571863880664,0.00105683435344793,"S1pr1","sphingosine-1-phosphate receptor 1","13609","HPP_vs_CTX"
504.592512682957,-0.651862027153971,0.211481860718247,-3.08235432079177,0.00205370225384636,0.0119773685771315,"1600010M07Rik","RIKEN cDNA 1600010M07 gene","69781","HPP_vs_CTX"
6599.78317873062,-0.651571921136985,0.225662387344641,-2.88737493564612,0.00388471007972128,0.0204466709625524,"LOC108167643",NA,NA,"HPP_vs_CTX"
